4	0.01927
3.99467	0.01941
3.98936	0.01951
3.98406	0.01934
3.97878	0.01921
3.97351	0.01935
3.96825	0.01949
3.96301	0.01935
3.95778	0.01923
3.95257	0.01938
3.94737	0.01954
3.94218	0.01943
3.93701	0.01932
3.93185	0.01948
3.9267	0.01966
3.92157	0.01958
3.91645	0.01947
3.91134	0.01963
3.90625	0.01985
3.90117	0.01979
3.8961	0.01969
3.89105	0.01985
3.88601	0.02009
3.88098	0.02006
3.87597	0.01996
3.87097	0.02013
3.86598	0.02038
3.861	0.02038
3.85604	0.02029
3.85109	0.02046
3.84615	0.02073
3.84123	0.02076
3.83632	0.02068
3.83142	0.02085
3.82653	0.02114
3.82166	0.0212
3.81679	0.02113
3.81194	0.0213
3.80711	0.02161
3.80228	0.02171
3.79747	0.02165
3.79267	0.02182
3.78788	0.02216
3.7831	0.02228
3.77834	0.02224
3.77358	0.02242
3.76884	0.02278
3.76412	0.02294
3.7594	0.02292
3.75469	0.0231
3.75	0.02348
3.74532	0.02369
3.74065	0.0237
3.73599	0.02389
3.73134	0.0243
3.72671	0.02454
3.72208	0.02458
3.71747	0.0248
3.71287	0.02523
3.70828	0.02553
3.7037	0.02561
3.69914	0.02584
3.69458	0.02631
3.69004	0.02667
3.6855	0.0268
3.68098	0.02706
3.67647	0.02758
3.67197	0.028
3.66748	0.02819
3.663	0.0285
3.65854	0.02907
3.65408	0.02957
3.64964	0.02983
3.6452	0.03021
3.64078	0.03085
3.63636	0.03144
3.63196	0.0318
3.62757	0.03226
3.62319	0.03299
3.61882	0.0337
3.61446	0.03419
3.61011	0.03476
3.60577	0.03562
3.60144	0.03648
3.59712	0.03714
3.59281	0.03786
3.58852	0.03889
3.58423	0.03996
3.57995	0.04085
3.57569	0.04179
3.57143	0.04305
3.56718	0.04441
3.56295	0.04561
3.55872	0.04687
3.5545	0.04848
3.5503	0.05024
3.5461	0.05189
3.54191	0.05362
3.53774	0.05575
3.53357	0.05811
3.52941	0.06042
3.52526	0.06288
3.52113	0.06581
3.517	0.0691
3.51288	0.07246
3.50877	0.07609
3.50467	0.08032
3.50058	0.08511
3.4965	0.0902
3.49243	0.09578
3.48837	0.10223
3.48432	0.1096
3.48028	0.11769
3.47625	0.1267
3.47222	0.13711
3.46821	0.14909
3.4642	0.16254
3.46021	0.17772
3.45622	0.19518
3.45224	0.21519
3.44828	0.23766
3.44432	0.26261
3.44037	0.29014
3.43643	0.3198
3.43249	0.35024
3.42857	0.37959
3.42466	0.40562
3.42075	0.42577
3.41686	0.43771
3.41297	0.44046
3.40909	0.43516
3.40522	0.4248
3.40136	0.41328
3.39751	0.40449
3.39367	0.40185
3.38983	0.40781
3.386	0.42317
3.38219	0.44606
3.37838	0.47198
3.37458	0.49625
3.37079	0.51754
3.367	0.53935
3.36323	0.56794
3.35946	0.60837
3.3557	0.66068
3.35196	0.71708
3.34821	0.76214
3.34448	0.77864
3.34076	0.75732
3.33704	0.7027
3.33333	0.62919
3.32963	0.55156
3.32594	0.4789
3.32226	0.41505
3.31858	0.36117
3.31492	0.31667
3.31126	0.2798
3.30761	0.24894
3.30396	0.22333
3.30033	0.20222
3.2967	0.18437
3.29308	0.16889
3.28947	0.15569
3.28587	0.14465
3.28228	0.13505
3.27869	0.12636
3.27511	0.11875
3.27154	0.11236
3.26797	0.1067
3.26442	0.10134
3.26087	0.09654
3.25733	0.09255
3.2538	0.08898
3.25027	0.08545
3.24675	0.08221
3.24324	0.07957
3.23974	0.07722
3.23625	0.07476
3.23276	0.07246
3.22928	0.07064
3.22581	0.06905
3.22234	0.06728
3.21888	0.06557
3.21543	0.06428
3.21199	0.06318
3.20856	0.06189
3.20513	0.06058
3.20171	0.05964
3.19829	0.05888
3.19489	0.05791
3.19149	0.05689
3.1881	0.05619
3.18471	0.05568
3.18134	0.05495
3.17797	0.05413
3.1746	0.0536
3.17125	0.05327
3.1679	0.05272
3.16456	0.05205
3.16122	0.05165
3.15789	0.05146
3.15457	0.05106
3.15126	0.0505
3.14795	0.0502
3.14465	0.0501
3.14136	0.04982
3.13808	0.04936
3.1348	0.04912
3.13152	0.0491
3.12826	0.04891
3.125	0.04853
3.12175	0.04835
3.1185	0.04839
3.11526	0.04828
3.11203	0.04797
3.10881	0.04782
3.10559	0.04791
3.10238	0.04787
3.09917	0.04761
3.09598	0.0475
3.09278	0.04763
3.0896	0.04765
3.08642	0.04744
3.08325	0.04735
3.08008	0.04751
3.07692	0.04758
3.07377	0.04741
3.07062	0.04734
3.06748	0.04752
3.06435	0.04764
3.06122	0.04751
3.0581	0.04746
3.05499	0.04766
3.05188	0.04782
3.04878	0.04773
3.04569	0.04769
3.0426	0.0479
3.03951	0.04809
3.03644	0.04804
3.03337	0.04801
3.0303	0.04823
3.02725	0.04845
3.02419	0.04844
3.02115	0.04842
3.01811	0.04865
3.01508	0.04889
3.01205	0.04891
3.00903	0.0489
3.00601	0.04913
3.003	0.0494
3	0.04945
